"cust_state","geoloc_state_name","geoloc_region","geoloc_state_pop","orders_cnt"
"DF","Distrito Federal","Central-West","2817381.00","2080"
"GO","Goiás","Central-West","7056495.00","1957"
"MT","Mato Grosso","Central-West","3658649.00","886"
"MS","Mato Grosso do Sul","Central-West","2757013.00","701"
"PA","Pará","North","8120131.00","946"
"TO","Tocantins","North","1511460.00","274"
"RO","Rondônia","North","1581196.00","243"
"AM","Amazonas","North","3941613.00","145"
"AC","Acre","North","830018.00","80"
"AP","Amapá","North","733759.00","67"
"RR","Roraima","North","636707.00","41"
"BA","Bahia","Northeast","14141626.00","3256"
"PE","Pernambuco","Northeast","9058931.00","1593"
"CE","Ceará","Northeast","8794957.00","1279"
"MA","Maranhão","Northeast","6776699.00","717"
"PB","Paraíba","Northeast","3974687.00","517"
"PI","Piauí","Northeast","3271199.00","476"
"RN","Rio Grande do Norte","Northeast","3302729.00","474"
"AL","Alagoas","Northeast","3127683.00","397"
"SE","Sergipe","Northeast","2210004.00","335"
"RS","Rio Grande do Sul","South","10882965.00","5344"
"PR","Paraná","South","11444380.00","4923"
"SC","Santa Catarina","South","7610361.00","3546"
"SP","São Paulo","Southeast","44411238.00","40494"
"RJ","Rio de Janeiro","Southeast","16055174.00","12350"
"MG","Minas Gerais","Southeast","20539989.00","11354"
"ES","Espírito Santo","Southeast","3833712.00","1995"
