geolocation_state,geolocation_state_name,geolocation_region,geolocation_state_population
AC,Acre,North,830018.00
AL,Alagoas,Northeast,3127683.00
AM,Amazonas,North,3941613.00
AP,Amapá,North,733759.00
BA,Bahia,Northeast,14141626.00
CE,Ceará,Northeast,8794957.00
DF,Distrito Federal,Central-West,2817381.00
ES,Espírito Santo,Southeast,3833712.00
GO,Goiás,Central-West,7056495.00
MA,Maranhão,Northeast,6776699.00
MG,Minas Gerais,Southeast,20539989.00
MS,Mato Grosso do Sul,Central-West,2757013.00
MT,Mato Grosso,Central-West,3658649.00
PA,Pará,North,8120131.00
PB,Paraíba,Northeast,3974687.00
PE,Pernambuco,Northeast,9058931.00
PI,Piauí,Northeast,3271199.00
PR,Paraná,South,11444380.00
RJ,Rio de Janeiro,Southeast,16055174.00
RN,Rio Grande do Norte,Northeast,3302729.00
RO,Rondônia,North,1581196.00
RR,Roraima,North,636707.00
RS,Rio Grande do Sul,South,10882965.00
SC,Santa Catarina,South,7610361.00
SE,Sergipe,Northeast,2210004.00
SP,São Paulo,Southeast,44411238.00
TO,Tocantins,North,1511460.00
